"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
critical results phoned to and read back by angel,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name jflow01s,1,Unknown,,,
critical results phoned to and read back by indra w13emed,1,Unknown,,,
critical results phoned to and read back by nirobi 13w time and date by jajn mclay,1,Unknown,,,
critical results phoned to and read back by sa23 chris time and date by peter nueve,1,Unknown,,,
critical results phoned to erica rn 6w time and date by abigail bu ot,1,Unknown,,,
critical results phoned to and read back by ram priya,1,Unknown,,,
specimen unsuitable for testing because the specimen appears to be an inappropriate swab if test is still required please place a new order and send sample in viral transport media or universal transport media,1,Unknown,,,
test cancelled collected swab was from wrong patient,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name dale evans,1,Unknown,,,
test not done duplicate order please refer to order collected same day,1,Unknown,,,
critical results phoned to and read back by gurinder rn er time and date by nicole dordolo mlt,1,Unknown,,,
test cancelled in consultation with medical microbiologist,1,Unknown,,,
the toronto phl reports covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus this assay is not verified for this specimen type results to be interpreted with caution,1,Unknown,,,
critical results phoned to and read back by 10e yallda rn time and date by peter nueve,1,Unknown,,,
duplicate order in soarian refer to order for result,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name devans01s,1,Unknown,,,
critical results phoned to and read back by channel rn 13e,1,Unknown,,,
this order was not received in lab please refer to sample collected at,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name cjones02s,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name hkaur01s,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name ktam01s,1,Unknown,,,
critical results phoned to and read back by shigin time and date by peter nueve,1,Unknown,,,
parainfluenza virus 1 2 3 4 by multiplex naat detected,1,Unknown,,,
duplicate specimen see,1,Unknown,,,
critical results phoned to and read back by denise 13emed time and date by chantal morris,1,Unknown,,,
testing not warranted for indication provided hence not performed,1,Unknown,,,
critical results phoned to and read back by kaylee time and date by peter nueve,1,Unknown,,,
specimen was mislabelled wrong patient test cancelled as per scott e,1,Unknown,,,
please refer to order number duplicate order in soarian,1,Unknown,,,
phoned to icp csm name rachel welch phoned to patient location name nvernon01s,1,Unknown,,,
report faxed to occupational health unit,1,Unknown,,,
not tested eswab received which is unsuitable for testing please resubmit sample in a viral transport media if testing is still required,1,Unknown,,,
pcr test unable to be completed e swab received please submit sample in viral transport medium for virus detection test cancelled,1,Unknown,,,
results called by peter mayberry at results called to jessica merrifield rn read back y,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name lcochra01s,1,Unknown,,,
phoned to icp csm name kathy wood phoned to patient location name lcochra01s,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report to follow in olis 20 tisa emond polojko healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
critical results phoned to and read back by eroz theodora rn time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by eroztheodorarn time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by helen ac,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name jrapson01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name xnguy01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name scurtis01s,1,Unknown,,,
critical results phoned to and read back by ozws jarvis time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by w09w marcia time and date by denise balcharan,1,Unknown,,,
refer to order s715for covid 19 and influenza a b results,1,Unknown,,,
specimen improperly collected therefore unsuitable for processing utm kit received with two collection swabs in it,1,Unknown,,,
critical results phoned to and read back by andrea ac10 time and date by jajn mclay,1,Unknown,,,
verbal report given to joy 13w by vincenzina portelli,1,Unknown,,,
test cancelled sample collected from the wrong patient,1,Unknown,,,
not tested inappropriate specimen type please resubmit a nasopharyngeal swab if testing is still required,1,Unknown,,,
critical results phoned to and read back by shauna,1,Unknown,,,
critical results phoned to and read back by zenaida rn 4paeds time and date by abigail bu ot,1,Unknown,,,
critical results phoned to and read back by shuveen 13emed time and date by chantal morris,1,Unknown,,,
this specimen was received in viral transport medium and is unsuitable for testing,1,Unknown,,,
critical results phoned to and read back by bob w04paed time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by joan time and date by moneyram lakhan,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name hmasoumi,1,Unknown,,,
critical results phoned to and read back by 04bunb hannah,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name kmcdaid01s,1,Unknown,,,
critical results phoned to and read back by tina 12e rn time and date by ellie zeidi,1,Unknown,,,
critical results phoned to and read back by vivya rn,1,Unknown,,,
critical results phoned to and read back by fahad rn 9w time and date by nicole dordolo mlt,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name smander01s,1,Unknown,,,
cancelled routine seasonal respiratory virus testing is not available for adult emergency er patients and ambulatory patients of all ages,1,Unknown,,,
critical results time and date by raymond lakhan fax to church assessment,1,Unknown,,,
phoned to icp csm name e mailed icp 1820 phoned to patient location name lasselt01s,1,Unknown,,,
not tested sputum is an unsuitable sample type and would not be tested,1,Unknown,,,
critical results phoned to and read back by janvynn rn ac wer time and date by nicole dordolo mlt,1,Unknown,,,
critical results phoned to and read back by portia,1,Unknown,,,
refer to order s717for covid 19 and fluab results,1,Unknown,,,
this is a duplicate order this test has been cancelled refer,1,Unknown,,,
critical results phoned to and read back by sheri 8wmed time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by fatima 6eicu time and date by jajn mclay,1,Unknown,,,
e swab received is not suitable for testing if test is still required please place a new order and send specimen in viral transport media,1,Unknown,,,
test rejected wrong test ordered according to nurse,1,Unknown,,,
presumptive positive referred to phl for confirmation,1,Unknown,,,
critical results phoned to and read back by debbie rn w06eicu time and date by emmanuel gallardo mlt,1,Unknown,,,
tested by multiplex rt pcr,12891,unknown,,,
parainfluenza 1 not detected,2619,negative,HPIV1,,
coronavirus 229e not detected,2619,negative,coronavirus_229E,,
coronavirus oc43 not detected,2619,negative,coronavirus_oc43,,
chlamydophilia pneumoniae not detected,2619,negative,Chlamydia_pneumoniae,,
mycoplasma pneumoniae not detected,2619,negative,pneumoniae,,
parainfluenza 2 not detected,2618,negative,HPIV2,,
human metapneumovirus not detected,2618,negative,hMPV,,
